Mã học viên,Ngày tháng năm sinh,Ngày đăng ký,Khóa học,Người đăng ký,Học phí,Thời lượng,Kết quả sau khi học,Điểm test đầu vào,Khuyến mãi (khoá tiếp theo)),"Số kỹ năng học viên muốn đăng ký(nghe, nói, đọc, viết)",Điểm test đầu ra,Mã giảng viên,Đánh giá giảng viên,Họ và tên giảng viên,Giới tính,Ngày sinh gv,Địa chỉ(quê quán gv),Số điện thoại gv,Quốc tịch giáo viên,Số kỹ năng khoá học
HV1,2015-07-14,2021-05-09,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,5.5,8%,2,3.8,GV01,1.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,2
HV6,2011-12-25,2020-12-01,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,4.3,15%,2,3.8,GV03,1.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,2
HV3,2005-09-15,2021-02-14,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,5.2,5%,4,8.3,GV01,5.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,2
HV4,2005-11-10,2020-03-28,English for Teens,Cha mẹ,3200000,24 buổi,Không đạt,5.4,,4,6.6,GV01,1.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,2
HV2,1994-09-17,2020-09-24,IELTS Intensive,Bản thân,10000000,25 buổi,Đạt,4.8,15%,2,8.6,GV03,3.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,4
HV3,2005-09-15,2023-02-07,IELTS Intensive,Bạn bè,10000000,25 buổi,Đạt,4.4,15%,4,8.3,GV04,3.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,4
HV5,2005-03-14,2022-01-14,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,7.5,15%,4,8.7,GV05,4.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,4
HV2,1994-09-17,2023-04-04,IELTS Foundation,Bạn bè,10000000,25 buổi,Đạt,5.6,15%,3,8.3,GV06,5.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,4
HV5,2005-03-14,2020-01-13,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,5.8,8%,2,8.6,GV02,5.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,3
HV7,1991-10-15,2022-07-14,Ôn luyện THPTQG,Bạn bè,1000000,tháng,Đạt,5.1,15%,3,8.4,GV03,3.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,3
HV2,1994-09-17,2020-07-19,B1,Bản thân,1000000,tháng,Đạt,7.2,15%,3,8.2,GV07,4.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,3
HV7,1991-10-15,2023-05-03,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,5.3,8%,3,8.3,GV09,3.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,4
HV7,1991-10-15,2022-07-02,IELTS Intensive,Bản thân,10000000,25 buổi,Đạt,4.9,,3,8.6,GV09,5.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,4
HV8,1990-10-01,2022-08-12,B1,Bản thân,1000000,tháng,Không đạt,5.0,,4,3.9,GV02,1.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,3
